Date,UMCSENT
2000-01-03,111.3
2000-01-04,111.3
2000-01-05,111.3
2000-01-06,111.3
2000-01-07,111.3
2000-01-10,111.3
2000-01-11,111.3
2000-01-12,111.3
2000-01-13,111.3
2000-01-14,111.3
2000-01-18,111.3
2000-01-19,111.3
2000-01-20,111.3
2000-01-21,111.3
2000-01-24,111.3
2000-01-25,111.3
2000-01-26,111.3
2000-01-27,111.3
2000-01-28,111.3
2000-01-31,111.3
2000-02-01,111.3
2000-02-02,111.3
2000-02-03,111.3
2000-02-04,111.3
2000-02-07,111.3
2000-02-08,111.3
2000-02-09,111.3
2000-02-10,111.3
2000-02-11,111.3
2000-02-14,111.3
2000-02-15,111.3
2000-02-16,111.3
2000-02-17,111.3
2000-02-18,111.3
2000-02-22,111.3
2000-02-23,111.3
2000-02-24,111.3
2000-02-25,111.3
2000-02-28,111.3
2000-02-29,111.3
2000-03-01,107.1
2000-03-02,107.1
2000-03-03,107.1
2000-03-06,107.1
2000-03-07,107.1
2000-03-08,107.1
2000-03-09,107.1
2000-03-10,107.1
2000-03-13,107.1
2000-03-14,107.1
2000-03-15,107.1
2000-03-16,107.1
2000-03-17,107.1
2000-03-20,107.1
2000-03-21,107.1
2000-03-22,107.1
2000-03-23,107.1
2000-03-24,107.1
2000-03-27,107.1
2000-03-28,107.1
2000-03-29,107.1
2000-03-30,107.1
2000-03-31,107.1
2000-04-03,107.1
2000-04-04,107.1
2000-04-05,107.1
2000-04-06,107.1
2000-04-07,107.1
2000-04-10,107.1
2000-04-11,107.1
2000-04-12,107.1
2000-04-13,107.1
2000-04-14,107.1
2000-04-17,107.1
2000-04-18,107.1
2000-04-19,107.1
2000-04-20,107.1
2000-04-24,107.1
2000-04-25,107.1
2000-04-26,107.1
2000-04-27,107.1
2000-04-28,107.1
2000-05-01,110.7
2000-05-02,110.7
2000-05-03,110.7
2000-05-04,110.7
2000-05-05,110.7
2000-05-08,110.7
2000-05-09,110.7
2000-05-10,110.7
2000-05-11,110.7
2000-05-12,110.7
2000-05-15,110.7
2000-05-16,110.7
2000-05-17,110.7
2000-05-18,110.7
2000-05-19,110.7
2000-05-22,110.7
2000-05-23,110.7
2000-05-24,110.7
2000-05-25,110.7
2000-05-26,110.7
2000-05-30,110.7
2000-05-31,110.7
2000-06-01,106.4
2000-06-02,106.4
2000-06-05,106.4
2000-06-06,106.4
2000-06-07,106.4
2000-06-08,106.4
2000-06-09,106.4
2000-06-12,106.4
2000-06-13,106.4
2000-06-14,106.4
2000-06-15,106.4
2000-06-16,106.4
2000-06-19,106.4
2000-06-20,106.4
2000-06-21,106.4
2000-06-22,106.4
2000-06-23,106.4
2000-06-26,106.4
2000-06-27,106.4
2000-06-28,106.4
2000-06-29,106.4
2000-06-30,106.4
2000-07-03,106.4
2000-07-05,106.4
2000-07-06,106.4
2000-07-07,106.4
2000-07-10,106.4
2000-07-11,106.4
2000-07-12,106.4
2000-07-13,106.4
2000-07-14,106.4
2000-07-17,106.4
2000-07-18,106.4
2000-07-19,106.4
2000-07-20,106.4
2000-07-21,106.4
2000-07-24,106.4
2000-07-25,106.4
2000-07-26,106.4
2000-07-27,106.4
2000-07-28,106.4
2000-07-31,106.4
2000-08-01,107.3
2000-08-02,107.3
2000-08-03,107.3
2000-08-04,107.3
2000-08-07,107.3
2000-08-08,107.3
2000-08-09,107.3
2000-08-10,107.3
2000-08-11,107.3
2000-08-14,107.3
2000-08-15,107.3
2000-08-16,107.3
2000-08-17,107.3
2000-08-18,107.3
2000-08-21,107.3
2000-08-22,107.3
2000-08-23,107.3
2000-08-24,107.3
2000-08-25,107.3
2000-08-28,107.3
2000-08-29,107.3
2000-08-30,107.3
2000-08-31,107.3
2000-09-01,106.8
2000-09-05,106.8
2000-09-06,106.8
2000-09-07,106.8
2000-09-08,106.8
2000-09-11,106.8
2000-09-12,106.8
2000-09-13,106.8
2000-09-14,106.8
2000-09-15,106.8
2000-09-18,106.8
2000-09-19,106.8
2000-09-20,106.8
2000-09-21,106.8
2000-09-22,106.8
2000-09-25,106.8
2000-09-26,106.8
2000-09-27,106.8
2000-09-28,106.8
2000-09-29,106.8
2000-10-02,106.8
2000-10-03,106.8
2000-10-04,106.8
2000-10-05,106.8
2000-10-06,106.8
2000-10-09,106.8
2000-10-10,106.8
2000-10-11,106.8
2000-10-12,106.8
2000-10-13,106.8
2000-10-16,106.8
2000-10-17,106.8
2000-10-18,106.8
2000-10-19,106.8
2000-10-20,106.8
2000-10-23,106.8
2000-10-24,106.8
2000-10-25,106.8
2000-10-26,106.8
2000-10-27,106.8
2000-10-30,106.8
2000-10-31,106.8
2000-11-01,107.6
2000-11-02,107.6
2000-11-03,107.6
2000-11-06,107.6
2000-11-07,107.6
2000-11-08,107.6
2000-11-09,107.6
2000-11-10,107.6
2000-11-13,107.6
2000-11-14,107.6
2000-11-15,107.6
2000-11-16,107.6
2000-11-17,107.6
2000-11-20,107.6
2000-11-21,107.6
2000-11-22,107.6
2000-11-24,107.6
2000-11-27,107.6
2000-11-28,107.6
2000-11-29,107.6
2000-11-30,107.6
2000-12-01,98.4
2000-12-04,98.4
2000-12-05,98.4
2000-12-06,98.4
2000-12-07,98.4
2000-12-08,98.4
2000-12-11,98.4
2000-12-12,98.4
2000-12-13,98.4
2000-12-14,98.4
2000-12-15,98.4
2000-12-18,98.4
2000-12-19,98.4
2000-12-20,98.4
2000-12-21,98.4
2000-12-22,98.4
2000-12-26,98.4
2000-12-27,98.4
2000-12-28,98.4
2000-12-29,98.4
2001-01-02,98.4
2001-01-03,98.4
2001-01-04,98.4
2001-01-05,98.4
2001-01-08,98.4
2001-01-09,98.4
2001-01-10,98.4
2001-01-11,98.4
2001-01-12,98.4
2001-01-16,98.4
2001-01-17,98.4
2001-01-18,98.4
2001-01-19,98.4
2001-01-22,98.4
2001-01-23,98.4
2001-01-24,98.4
2001-01-25,98.4
2001-01-26,98.4
2001-01-29,98.4
2001-01-30,98.4
2001-01-31,98.4
2001-02-01,90.6
2001-02-02,90.6
2001-02-05,90.6
2001-02-06,90.6
2001-02-07,90.6
2001-02-08,90.6
2001-02-09,90.6
2001-02-12,90.6
2001-02-13,90.6
2001-02-14,90.6
2001-02-15,90.6
2001-02-16,90.6
2001-02-20,90.6
2001-02-21,90.6
2001-02-22,90.6
2001-02-23,90.6
2001-02-26,90.6
2001-02-27,90.6
2001-02-28,90.6
2001-03-01,91.5
2001-03-02,91.5
2001-03-05,91.5
2001-03-06,91.5
2001-03-07,91.5
2001-03-08,91.5
2001-03-09,91.5
2001-03-12,91.5
2001-03-13,91.5
2001-03-14,91.5
2001-03-15,91.5
2001-03-16,91.5
2001-03-19,91.5
2001-03-20,91.5
2001-03-21,91.5
2001-03-22,91.5
2001-03-23,91.5
2001-03-26,91.5
2001-03-27,91.5
2001-03-28,91.5
2001-03-29,91.5
2001-03-30,91.5
2001-04-02,91.5
2001-04-03,91.5
2001-04-04,91.5
2001-04-05,91.5
2001-04-06,91.5
2001-04-09,91.5
2001-04-10,91.5
2001-04-11,91.5
2001-04-12,91.5
2001-04-16,91.5
2001-04-17,91.5
2001-04-18,91.5
2001-04-19,91.5
2001-04-20,91.5
2001-04-23,91.5
2001-04-24,91.5
2001-04-25,91.5
2001-04-26,91.5
2001-04-27,91.5
2001-04-30,91.5
2001-05-01,92.0
2001-05-02,92.0
2001-05-03,92.0
2001-05-04,92.0
2001-05-07,92.0
2001-05-08,92.0
2001-05-09,92.0
2001-05-10,92.0
2001-05-11,92.0
2001-05-14,92.0
2001-05-15,92.0
2001-05-16,92.0
2001-05-17,92.0
2001-05-18,92.0
2001-05-21,92.0
2001-05-22,92.0
2001-05-23,92.0
2001-05-24,92.0
2001-05-25,92.0
2001-05-29,92.0
2001-05-30,92.0
2001-05-31,92.0
2001-06-01,92.6
2001-06-04,92.6
2001-06-05,92.6
2001-06-06,92.6
2001-06-07,92.6
2001-06-08,92.6
2001-06-11,92.6
2001-06-12,92.6
2001-06-13,92.6
2001-06-14,92.6
2001-06-15,92.6
2001-06-18,92.6
2001-06-19,92.6
2001-06-20,92.6
2001-06-21,92.6
2001-06-22,92.6
2001-06-25,92.6
2001-06-26,92.6
2001-06-27,92.6
2001-06-28,92.6
2001-06-29,92.6
2001-07-02,92.6
2001-07-03,92.6
2001-07-05,92.6
2001-07-06,92.6
2001-07-09,92.6
2001-07-10,92.6
2001-07-11,92.6
2001-07-12,92.6
2001-07-13,92.6
2001-07-16,92.6
2001-07-17,92.6
2001-07-18,92.6
2001-07-19,92.6
2001-07-20,92.6
2001-07-23,92.6
2001-07-24,92.6
2001-07-25,92.6
2001-07-26,92.6
2001-07-27,92.6
2001-07-30,92.6
2001-07-31,92.6
2001-08-01,91.5
2001-08-02,91.5
2001-08-03,91.5
2001-08-06,91.5
2001-08-07,91.5
2001-08-08,91.5
2001-08-09,91.5
2001-08-10,91.5
2001-08-13,91.5
2001-08-14,91.5
2001-08-15,91.5
2001-08-16,91.5
2001-08-17,91.5
2001-08-20,91.5
2001-08-21,91.5
2001-08-22,91.5
2001-08-23,91.5
2001-08-24,91.5
2001-08-27,91.5
2001-08-28,91.5
2001-08-29,91.5
2001-08-30,91.5
2001-08-31,91.5
2001-09-04,91.5
2001-09-05,91.5
2001-09-06,91.5
2001-09-07,91.5
2001-09-10,91.5
2001-09-17,91.5
2001-09-18,91.5
2001-09-19,91.5
2001-09-20,91.5
2001-09-21,91.5
2001-09-24,91.5
2001-09-25,91.5
2001-09-26,91.5
2001-09-27,91.5
2001-09-28,91.5
2001-10-01,82.7
2001-10-02,82.7
2001-10-03,82.7
2001-10-04,82.7
2001-10-05,82.7
2001-10-08,82.7
2001-10-09,82.7
2001-10-10,82.7
2001-10-11,82.7
2001-10-12,82.7
2001-10-15,82.7
2001-10-16,82.7
2001-10-17,82.7
2001-10-18,82.7
2001-10-19,82.7
2001-10-22,82.7
2001-10-23,82.7
2001-10-24,82.7
2001-10-25,82.7
2001-10-26,82.7
2001-10-29,82.7
2001-10-30,82.7
2001-10-31,82.7
2001-11-01,83.9
2001-11-02,83.9
2001-11-05,83.9
2001-11-06,83.9
2001-11-07,83.9
2001-11-08,83.9
2001-11-09,83.9
2001-11-12,83.9
2001-11-13,83.9
2001-11-14,83.9
2001-11-15,83.9
2001-11-16,83.9
2001-11-19,83.9
2001-11-20,83.9
2001-11-21,83.9
2001-11-23,83.9
2001-11-26,83.9
2001-11-27,83.9
2001-11-28,83.9
2001-11-29,83.9
2001-11-30,83.9
2001-12-03,83.9
2001-12-04,83.9
2001-12-05,83.9
2001-12-06,83.9
2001-12-07,83.9
2001-12-10,83.9
2001-12-11,83.9
2001-12-12,83.9
2001-12-13,83.9
2001-12-14,83.9
2001-12-17,83.9
2001-12-18,83.9
2001-12-19,83.9
2001-12-20,83.9
2001-12-21,83.9
2001-12-24,83.9
2001-12-26,83.9
2001-12-27,83.9
2001-12-28,83.9
2001-12-31,83.9
2002-01-02,83.9
2002-01-03,83.9
2002-01-04,83.9
2002-01-07,83.9
2002-01-08,83.9
2002-01-09,83.9
2002-01-10,83.9
2002-01-11,83.9
2002-01-14,83.9
2002-01-15,83.9
2002-01-16,83.9
2002-01-17,83.9
2002-01-18,83.9
2002-01-22,83.9
2002-01-23,83.9
2002-01-24,83.9
2002-01-25,83.9
2002-01-28,83.9
2002-01-29,83.9
2002-01-30,83.9
2002-01-31,83.9
2002-02-01,90.7
2002-02-04,90.7
2002-02-05,90.7
2002-02-06,90.7
2002-02-07,90.7
2002-02-08,90.7
2002-02-11,90.7
2002-02-12,90.7
2002-02-13,90.7
2002-02-14,90.7
2002-02-15,90.7
2002-02-19,90.7
2002-02-20,90.7
2002-02-21,90.7
2002-02-22,90.7
2002-02-25,90.7
2002-02-26,90.7
2002-02-27,90.7
2002-02-28,90.7
2002-03-01,95.7
2002-03-04,95.7
2002-03-05,95.7
2002-03-06,95.7
2002-03-07,95.7
2002-03-08,95.7
2002-03-11,95.7
2002-03-12,95.7
2002-03-13,95.7
2002-03-14,95.7
2002-03-15,95.7
2002-03-18,95.7
2002-03-19,95.7
2002-03-20,95.7
2002-03-21,95.7
2002-03-22,95.7
2002-03-25,95.7
2002-03-26,95.7
2002-03-27,95.7
2002-03-28,95.7
2002-04-01,93.0
2002-04-02,93.0
2002-04-03,93.0
2002-04-04,93.0
2002-04-05,93.0
2002-04-08,93.0
2002-04-09,93.0
2002-04-10,93.0
2002-04-11,93.0
2002-04-12,93.0
2002-04-15,93.0
2002-04-16,93.0
2002-04-17,93.0
2002-04-18,93.0
2002-04-19,93.0
2002-04-22,93.0
2002-04-23,93.0
2002-04-24,93.0
2002-04-25,93.0
2002-04-26,93.0
2002-04-29,93.0
2002-04-30,93.0
2002-05-01,96.9
2002-05-02,96.9
2002-05-03,96.9
2002-05-06,96.9
2002-05-07,96.9
2002-05-08,96.9
2002-05-09,96.9
2002-05-10,96.9
2002-05-13,96.9
2002-05-14,96.9
2002-05-15,96.9
2002-05-16,96.9
2002-05-17,96.9
2002-05-20,96.9
2002-05-21,96.9
2002-05-22,96.9
2002-05-23,96.9
2002-05-24,96.9
2002-05-28,96.9
2002-05-29,96.9
2002-05-30,96.9
2002-05-31,96.9
2002-06-03,96.9
2002-06-04,96.9
2002-06-05,96.9
2002-06-06,96.9
2002-06-07,96.9
2002-06-10,96.9
2002-06-11,96.9
2002-06-12,96.9
2002-06-13,96.9
2002-06-14,96.9
2002-06-17,96.9
2002-06-18,96.9
2002-06-19,96.9
2002-06-20,96.9
2002-06-21,96.9
2002-06-24,96.9
2002-06-25,96.9
2002-06-26,96.9
2002-06-27,96.9
2002-06-28,96.9
2002-07-01,88.1
2002-07-02,88.1
2002-07-03,88.1
2002-07-05,88.1
2002-07-08,88.1
2002-07-09,88.1
2002-07-10,88.1
2002-07-11,88.1
2002-07-12,88.1
2002-07-15,88.1
2002-07-16,88.1
2002-07-17,88.1
2002-07-18,88.1
2002-07-19,88.1
2002-07-22,88.1
2002-07-23,88.1
2002-07-24,88.1
2002-07-25,88.1
2002-07-26,88.1
2002-07-29,88.1
2002-07-30,88.1
2002-07-31,88.1
2002-08-01,87.6
2002-08-02,87.6
2002-08-05,87.6
2002-08-06,87.6
2002-08-07,87.6
2002-08-08,87.6
2002-08-09,87.6
2002-08-12,87.6
2002-08-13,87.6
2002-08-14,87.6
2002-08-15,87.6
2002-08-16,87.6
2002-08-19,87.6
2002-08-20,87.6
2002-08-21,87.6
2002-08-22,87.6
2002-08-23,87.6
2002-08-26,87.6
2002-08-27,87.6
2002-08-28,87.6
2002-08-29,87.6
2002-08-30,87.6
2002-09-03,87.6
2002-09-04,87.6
2002-09-05,87.6
2002-09-06,87.6
2002-09-09,87.6
2002-09-10,87.6
2002-09-11,87.6
2002-09-12,87.6
2002-09-13,87.6
2002-09-16,87.6
2002-09-17,87.6
2002-09-18,87.6
2002-09-19,87.6
2002-09-20,87.6
2002-09-23,87.6
2002-09-24,87.6
2002-09-25,87.6
2002-09-26,87.6
2002-09-27,87.6
2002-09-30,87.6
2002-10-01,80.6
2002-10-02,80.6
2002-10-03,80.6
2002-10-04,80.6
2002-10-07,80.6
2002-10-08,80.6
2002-10-09,80.6
2002-10-10,80.6
2002-10-11,80.6
2002-10-14,80.6
2002-10-15,80.6
2002-10-16,80.6
2002-10-17,80.6
2002-10-18,80.6
2002-10-21,80.6
2002-10-22,80.6
2002-10-23,80.6
2002-10-24,80.6
2002-10-25,80.6
2002-10-28,80.6
2002-10-29,80.6
2002-10-30,80.6
2002-10-31,80.6
2002-11-01,84.2
2002-11-04,84.2
2002-11-05,84.2
2002-11-06,84.2
2002-11-07,84.2
2002-11-08,84.2
2002-11-11,84.2
2002-11-12,84.2
2002-11-13,84.2
2002-11-14,84.2
2002-11-15,84.2
2002-11-18,84.2
2002-11-19,84.2
2002-11-20,84.2
2002-11-21,84.2
2002-11-22,84.2
2002-11-25,84.2
2002-11-26,84.2
2002-11-27,84.2
2002-11-29,84.2
2002-12-02,84.2
2002-12-03,84.2
2002-12-04,84.2
2002-12-05,84.2
2002-12-06,84.2
2002-12-09,84.2
2002-12-10,84.2
